C.D.S.  -  SIMBAD4 rel 1.8  -  2022.07.06CEST07:39:17

splum = 'V' & sptype <= 'K9' & sptype  >= 'K0' &
dec <  24 & dec  > -24
------------------------------------------------------------------------

Number of objects : 2648

 #  	            identifier             	      typ       	     coord1 (ICRS,J2000/2000)      	      coord2 (FK5,J2000/2000)      	      coord4 (Ecl,J2000/2000)      	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	  spec. type   	#bib	#not
----	-----------------------------------	----------------	-----------------------------------	-----------------------------------	-----------------------------------	---------	---------	---------	---------	---------	---------------	----	----
1   	BD+21 418B                         	HighPM*         	047.8013378592593 +22.4229364525765	047.8013465252277 +22.4229340554025	051.4795292448966 +04.4485102907186	     ~   	11.6     	10.6     	     ~   	     ~   	K3V            	  32	   0
2   	LP 355-34                          	HighPM*         	047.6834533033100 +22.4193801179700	047.6834619709026 +22.4193777322934	051.3732755927979 +04.4743222954209	     ~   	     ~   	     ~   	10.7     	     ~   	K3V            	   5	   0
3   	TYC 1230-694-1                     	Star            	045.2586910766800 +20.2509204636000	045.2586995357562 +20.2509183165825	048.6003473254905 +03.0092293590289	     ~   	12.95    	11.96    	     ~   	     ~   	K0V            	   4	   0
4   	TYC 1230-997-1                     	HighPM*         	045.2940761376000 +20.4185454058800	045.2940846151036 +20.4185432553510	048.6792994627192 +03.1608329141552	     ~   	12.77    	11.75    	     ~   	     ~   	K0V            	   4	   0
5   	StKM 2-259                         	HighPM*         	046.7456608825700 +18.2746243887400	046.7456691024876 +18.2746220948830	049.4033858930711 +00.7219159762311	     ~   	     ~   	     ~   	11.672   	     ~   	K5V            	   4	   0
6   	BPM 85457                          	HighPM*         	046.0596795778700 +17.1717477784300	046.0596876867289 +17.1717455521283	048.4724906112718 -00.1594201414601	     ~   	12.8     	12.208   	11.943   	     ~   	K4V            	   1	   0
7   	G 5-14                             	HighPM*         	046.7671043888300 +15.6756748701100	046.7671123293266 +15.6756725741465	048.7146852681787 -01.7842298666452	     ~   	     ~   	     ~   	11.076   	     ~   	K5V            	  12	   0
8   	BD+08 469                          	HighPM*         	047.7930315690600 +09.1963709783400	047.7930388345431 +09.1963685819759	047.9188725614087 -08.2923882295387	     ~   	12.56    	     ~   	10.996   	     ~   	K6V            	  15	   0
9   	V* BZ Cet                          	BYDraV*         	045.0117163658646 +07.7497551039992	045.0117235021022 +07.7497529815134	044.8399682374153 -08.9190906455715	9.635    	8.908    	7.955    	7.436    	6.994    	K2.5Vk         	 126	   0
10  	MCC 413                            	**              	046.89077596 -03.97142904          	046.89078193 -03.97143134          	043.21990173 -20.68590804          	     ~   	12.35    	10.858   	10.455   	     ~   	K7V            	  41	   0
11  	HD 19003                           	HighPM*         	045.8337565159300 -02.2056490243600	045.8337626588673 -02.2056512283425	042.6943845147851 -18.6891239917163	     ~   	10.27    	9.46     	     ~   	     ~   	K0V            	   6	   0
12  	HD 18719                           	HighPM*         	045.0713848273200 -09.0399051687100	045.0713902826055 -09.0399072971261	039.6981000460299 -24.9786264081903	     ~   	9.80     	8.95     	     ~   	     ~   	K0V            	  35	   0
13  	V* IR Eri                          	RSCVnV*         	045.6361793395100 -15.2726178347600	045.6361841517870 -15.2726200191955	038.0519473360191 -31.0649396139035	     ~   	9.30     	8.45     	     ~   	     ~   	K0V            	  41	   0
14  	LP 771-99                          	HighPM*         	045.5283743437800 -18.9121321352800	045.5283787601049 -18.9121343090390	036.5023856987803 -34.4649331584252	     ~   	12.49    	11.647   	11.347   	     ~   	K4V            	   5	   0
15  	HD 19096                           	HighPM*         	045.9459833468200 -21.3614560160200	045.9459874940600 -21.3614582310937	035.9249842031144 -36.9007097366903	     ~   	8.34     	7.44     	     ~   	     ~   	K0V            	  17	   0
16  	BPM 85575                          	HighPM*         	049.3902326610000 +23.6396268287500	049.3902414369915 +23.6396242776193	053.2172915447244 +05.2359772569075	     ~   	12.51    	11.913   	11.527   	     ~   	K4V            	   1	   0
17  	TYC 1240-91-1                      	HighPM*         	048.8263892135300 +20.2309256486900	048.8263976170517 +20.2309231519747	051.8199093169852 +02.0818606870304	     ~   	11.36    	10.57    	     ~   	     ~   	K0V            	   1	   0
18  	LP 472-37                          	HighPM*         	049.8251102614200 +11.4559398715500	049.8251177366117 +11.4559372786186	050.4655625757045 -06.6412944146414	     ~   	     ~   	     ~   	10.907   	     ~   	K5V            	  10	   0
19  	G 79-15A                           	HighPM*         	048.5312450983500 +08.5555708708400	048.5312522951199 +08.5555684027053	048.4556563283140 -09.1054460766989	     ~   	13.72    	12.333   	11.883   	     ~   	K5V            	  13	   0
20  	HD 20165                           	HighPM*         	048.6967786947971 +08.9807932604625	048.6967859326414 +08.9807907762901	048.7298660942311 -08.7391176197807	9.278    	8.68     	7.800    	7.319    	6.895    	K1V            	 115	   0
21  	HD 20530                           	**              	049.4385096161265 -14.1130058937695	049.4385145906627 -14.1130084495477	042.5550977807221 -31.1170363966769	     ~   	10.41    	9.56     	     ~   	     ~   	K0V            	   7	   0
22  	V* ES Eri                          	RSCVnV*         	049.5159721573700 -19.7372978990600	049.5159765410558 -19.7373004622919	040.5310093576365 -36.4849111240163	     ~   	11.61    	10.63    	     ~   	     ~   	K5V            	  23	   0
23  	BD-19 660                          	HighPM*         	050.2112872516400 -19.2690893857600	050.2112916970301 -19.2690920156856	041.4877485633929 -36.2497808176941	     ~   	11.40    	10.32    	     ~   	     ~   	K7V            	  24	   0
24  	HD 20492                           	HighPM*         	049.3119526021783 -20.6857856168614	049.3119568788239 -20.6857881604519	039.9205891459160 -37.3203917843567	     ~   	10.667   	9.773    	9.721    	     ~   	K3.5V          	  33	   0
25  	LP 831-44                          	HighPM*         	048.5560953988000 -20.6661994385700	048.5560996651261 -20.6662019091135	039.0900146234927 -37.0699092410931	     ~   	     ~   	12.669   	12.234   	     ~   	K7V            	   7	   0
26  	2MASS J03235551+2339273            	TTauri*         	050.9813237091600 +23.6576072625400	050.9813324552510 +23.6576045592056	054.6364398744719 +04.8807053375959	     ~   	     ~   	13.1     	     ~   	     ~   	K4V            	   6	   0
27  	Ross 376                           	HighPM*         	052.0097300422708 +22.0230541642506	052.0097385854995 +22.0230513636407	055.1499802287612 +03.0620528495057	     ~   	     ~   	     ~   	10.950   	     ~   	K7V            	  24	   0
28  	LP 472-66                          	HighPM*         	051.1458452973200 +14.8712263862900	051.1458531019935 +14.8712236673345	052.5860028222299 -03.6649675556718	     ~   	12.83    	     ~   	11.395   	     ~   	K5V            	   5	   0
29  	BD+10 439                          	HighPM*         	051.2924366527800 +11.2134761776000	051.2924440902520 +11.2134734447446	051.8049743749698 -07.2420095224536	     ~   	     ~   	     ~   	10.321   	     ~   	K5V            	   6	   0
30  	StKM 1-367                         	**              	051.9087324 +09.9349900            	051.9087397 +09.9349872            	052.0752925 -08.6312052            	     ~   	12.08    	10.75    	9.777    	     ~   	K7.5V          	  14	   0
31  	RX J0331.1+0713                    	RotV*           	052.7849275267100 +07.2235756374400	052.7849345667179 +07.2235727641002	052.2483026825485 -11.4725494134289	     ~   	11.52    	10.58    	10.54    	9.570    	K4Ve           	  18	   0
32  	HD 21601                           	HighPM*         	052.3093512270000 +00.4161850662200	052.3093576271907 +00.4161822374379	050.0107962747936 -17.9446302901435	     ~   	10.06    	9.13     	     ~   	     ~   	K1V            	   4	   0
33  	LP 653-3                           	HighPM*         	053.2207661120300 -03.5086797069600	053.2207721460712 -03.5086826209606	049.8780606269160 -21.9718816297755	     ~   	13.21    	11.645   	11.248   	     ~   	K4V            	   5	   0
34  	HD 21197                           	HighPM*         	051.2488775596862 -05.3637551029292	051.2488834108458 -05.3637578316560	047.2936183285483 -23.2423972765434	10.172   	9.012    	7.841    	7.162    	6.607    	K4V            	 156	   0
35  	BD-08 655                          	Star            	051.9192634119900 -08.4310334988400	051.9192689728437 -08.4310362909283	047.0787034561476 -26.3749650451363	     ~   	11.175   	9.748    	     ~   	     ~   	K5V            	  10	   0
36  	BD-09 965                          	Star            	053.1643283990500 -09.2677821243800	053.1643338892503 -09.2677850331248	048.1522642371566 -27.5141701489466	     ~   	11.67    	10.68    	     ~   	     ~   	K0V            	   2	   0
